,,,,,,,,,
Label ,Author,Gallery,Acc. No.,TMS,Inst. Date,De-Install Date,Status,Filename,
WomenatWork: Lace,T Gihring,G309,92.16,4418,3/2/2016,3/31/2016,deinstalled,16-3-2_92.16_LaceEDIT,
BlackHistoryMonth: Christus,T Gihring,G357,2008.101,104894,2/10/2016,2/29/2016,deinstalled,160210Christus_2008.101_BlackHistory,
BlackHistoryMonth: JonnyMae,T Gihring,G180,2012.96,115829,2/10/2016,2/29/2016,deinstalled,160210JonnyMae_2012.96_BlackHistory,
WomenatWork: Tanning,D Richard,G375,2007.44,102931,3/3/2016,3/31/2016,deinstalled,2_2007.44_WomenatWork_TanningEDIT,
WomenatWork: Catlett,E. Hohulin,G315,P.97.1,7890,3/9/2016,3/31/2016,deinstalled,16-3-9_P.97.1_WomenatWork_CatlettEDIT,
WomenatWork: Hosmer,E. Hohulin,G323,2003.125,81074,3/9/2016,3/31/2016,deinstalled,16-3-9_2003.125_WomenatWork_HosmerEDIT,
WomenatWork: O'Keeffe,E. Hohulin,G377,L2014.234.195,121654,3/9/2016,3/31/2016,deinstalled,16-3-9_L2014.234.195_WomenatWork_OKeeffeEDIT,
WomenatWork: Bonheur,E. Hohulin,G351,92.74,4483,3/9/2016,3/31/2016,deinstalled,16-3-9_92.74_WomenatWork_BonheurEDIT,
WomenatWork: Smith,E. Hohulin,G373,2011.74.14,113164,3/9/2016,3/31/2016,deinstalled,16-3-9_2011.74.14_WomenatWork_KikiSmithEDIT,
WomenatWork: Zulul,A Bortolot,G236,99.115.1,12111,3/8/2016,3/31/2016,deinstalled,16-3-4_ 99.115.1_WomenatWork_Zulu1,
Ego,D Richard,G311,35.7.106,537,3/16/2016,4/16/2016,deinstalled,16-3-16_35.7.106_EgoEDIT,
WomanatWork: Spinning,J Chevalier,G310,33.23.3,520,3/23/2016,3/31/2016,deinstalled,16-3-23_33.23.3_SpinningEDIT,
LostNature,T Gihring,G322,2000.236,12936,3/24/2016,4/24/2016,deinstalled,16-3-24_2000.236_LostNatureEDIT,
Eagle,D Richard,G307,66.9,1629,3/30/2016,4/30/2016,deinstalled,16-3-30_66.9_EagleEDIT,
Palmyra,D Richard,G242,2008.28.2,81247,3/30/2016,4/30/2016,deinstalled,16-3-30_2008.28.2_PalmyraEDIT,
Narcissist Artists,T Gihring,G376,55.45,1278,3/30/2016,4/30/2016,deinstalled,16-3-29_55.45_NarcissistArtistEDIT,
iPhone,E. Hohulin,G310,69.80.2A-C,8484,4/6/2016,5/6/2016,deinstalled,"16-4-6_69.80.1A,B_iPhoneEDIT",
Not Face,D Richard,G263,2015.55.1,56568,4/12/2016,5/20/2016,deinstalled,16-4-12_2015.55.1_NotFaceEDIT,
Earth Day: Trenchcoat,D Richard,G375,2003.106,67499,4/19/2016,5/20/2016,deinstalled,16-4-13_2003.106_EarthDay_TrenchEDIT,
Earth Day: Coral,D Richard,G350,2010.29.1,109578,4/19/2016,5/20/2016,deinstalled,16-4-13_2010.29.1_EarthDay_CoralEDIT,
Earth Day: Language,T Gihring,G322,2000.236,12936,4/19/2016,5/20/2016,deinstalled,16-4-19_2000.236_EarthDay_LanguageEDIT,
Earth Day: Ivory,T Gihring,G250,56.33,1312,4/19/2016,5/20/2016,deinstalled,16-4-19_56.33_EarthDay_IvoryEDIT,
Earth Day: Neonic,A Bortolot,G322,2005.96,98269,4/20/2016,5/20/2016,deinstalled,16-4-20_2005.96_EarthDay_Neonicotinoids,
Earth Day: Adaptive Reuse,A Bortolot,G341,2009.58,108724,4/20/2016,5/20/2016,deinstalled,16-4-20_2009.58_EarthDay_AdaptiveReuseEDIT,
Earth Day: Trash,E. Hohulin,G374,2012.117.2A-E,109328,4/20/2016,5/20/2016,deinstalled,16-4-20_2012.117.2A-E_EarthDay_TrashEDIT,
Earth Day: Found Object,E. Hohulin,G374,"2011.12A,B",111576,4/20/2016,5/20/2016,deinstalled,"16-4-20_2011.12A,B_EarthDay_FoundObjEDIT",
Earth Day: Nature,E. Hohulin,G323,81.6,2903,4/20/2016,5/20/2016,deinstalled,16-4-20_81.6_EarthDay_NatureEDIT,
Earth Day: Birds,A Bortolot,G304,L98.94.6,6862,4/20/2016,5/20/2016,deinstalled,16-4-20_L98.94.6_EarthDay_DecoysEDIT,
Robot Monk,T Gihring,G200,62.14,1473,4/28/2016,5/28/2016,deinstalled,16-4-29_62.14_RobotMonkEDIT,
Tubman,E. Hohulin,G323,44.25,689,4/28/2016,5/28/2016,deinstalled,16-4-28_44.25_TubmanEDIT2,
Tomb brand,D Richard,G208,50.46.193,875,5/5/2016,6/5/2015,deinstalled,16-5-5_50.46.193_GucciTombEDIT,
Rembrandt,Tschudi-Campbell,G311,34.19,529,5/10/2016,6/10/2016,deinstalled,16-5-5_34.19_RembrandtEDIT.docx,
Before the Selfie: Goya,D Richard,G321,52.14,1226,5/17/2016,10/30/2016,missing,16-5-12_52.14_BeforeSelfie_GoyaEDIT,
Noguchi,D Richard,G378,2013.17,116294,5/12/2016,6/12/2016,deinstalled,16-5-12_2013.17_NoguchiEDIT,
Before the Selfie: Yasumasa,D Richard,G373,2010.25,109149,5/17/2016,10/30/2016,deinstalled,16-5-17_ 2010.25_BeforeSelfie_YasumasaEDIT,
Diana,D Richard,G319,68.74.1,12138,5/18/2016,6/18/2016,deinstalled,16-5-18_68.74.1_DianaEDIT,
Before the Selfie: Chardin,T Gihring,G306,52.15,1227,5/24/2016,6/24/2016,deinstalled,16-5-24_52.15_BeforeSelfie_ChardinEDIT,
Before the Selfie: DeMura,T Gihring,G307,62.48,1488,5/24/2016,6/24/2016,missing?,16-5-24_62.48_BeforeSelfie_DeMuraEDIT,
Rug,D Richard,G357,70.40,10361,5/31/2016,6/30/2016,deinstalled,16-5-31_70.40_RugsEDIT,
Buddha,D Richard,G212,2000.31.5,8447,6/2/2016,7/2/2016,deinstalled,16-6-2_2000.31.5_BuddhaEDIT,
Led Zeppelin,D Richard,G230,86.6,3520,6/8/2016,7/8/2016,deinstalled,16-6-8_86.6_LedZEDIT,
Mughal Coloring,T Gihring,G243,2014.101,120430,6/8/2016,7/8/2016,deinstalled,16-6-8_2014.101_MughalColoringEDIT,
Beehive,D Richard,G250,95.84,4866,6/15/2016,7/15/2016,deinstalled,16-6-15_95.84_BeehiveEDIT,
Milky way,D Richard,G380,2013.19,116191,6/15/2016,7/15/2016,deinstalled,16-6-15_2013.19_MilkyWayEDIT,
Ali,D Richard,G365,2012.24,113973,6/16/2016,7/16/2016,deinstalled,16-6-16_2012.24_AliEDIT,
Pride,J Chevalier,G373,2014.42,119693,6/16/2016,7/16/2016,deinstalled,16-6-16_2014.42_PrideEDIT,
Pompeii,A Cole,G241,79.21,2613,6/29/2016,7/29/2016,deinstalled,16-6-29_79.21_PompeiEDIT,
Kanye,A Cole,G376,96.2,5033,6/30/2016,7/30/2016,deinstalled,16-6-30_96.2_KanyeEDIT,
Wright,G Halvorson,G300,72.11,19689,6/30/2016,7/30/2016,deinstalled,29-6-16_72.11_WrightEDIT,
Nike,D Richard,G357,2003.145,80860,7/6/2016,8/6/2016,deinstalled,16-7-6_2003.145_NikeEDIT.docx,
Jupiter,A Cole,G380,2013.19,116191,7/6/2016,8/6/2016,deinstalled,16-7-6_2013.19_JunoEDIT,
Sand Sculptures,T Gihring,G212,92.44,4457,7/7/2016,8/7/2016,deinstalled,16-7-7_92.44_SandSculpturesEDIT,
Artist Denial,T Gihring,G332,32.12,486,7/7/2016,8/7/2016,deinstalled,16-7-7_32.12_ArtistDenialEDIT,
Treasure,G Halvorson,G301,2006.84,100638,7/12/2016,8/12/2016,deinstalled,16-7-11_2006.84_TreasureEDIT,
Trio,G Halvorson,G321,"75.52A,B",2224,7/12/2016,8/12/2016,deinstalled,"16-7-11_75.52A,B_Trio to RioEDIT",
Emperor,D Richard,G223,2013.29.14.1,117153,7/14/2016,8/14/2016,deinstalled,16-7-14_2013.29.14.1_EmperorEDIT,
Nice,D Richard,G377,2010.37,6359,7/20/2016,8/20/2016,deinstalled,16-7-20_2010.37_NiceEDIT,
Cat,A Cole,G321,82.47,3077,7/20/2016,8/20/2016,deinstalled,16-7-20_ 82.47_CatEDIT,
Politics,S Walden,G304,2004.177.12,90021,7/21/2016,8/21/2016,missing?,16-7-21_2004.177.12_PoliticsEDIT,
Priest,A Coffman,G321,2012.44,113539,7/28/2016,8/28/2016,deinstalled,16-7-28_2012.44_Priest,
Gainsbourg,A Cole,G317,88.58,3738,7/28/2016,8/28/2016,deinstalled,16-7-28_88.58_GainsbourgEDIT.docx,
Olympic,S Walden,G241,63.41,1524,7/28/2016,8/28/2016,deinstalled?,16-7-28_63.41_OlympicEDIT,
Ear,A Coffman,G355,51.7,1218,7/28/2016,8/28/2016,deinstalled,16-7-28_51.7_Ear.docx,
Soldier,A Coffman,G351,56.8,1320,7/28/2016,8/28/2016,deinstalled,16-7-28_56.8_Soldier,
Sofa,A Cole,G303,2002.266A-C,2420,8/2/2016,9/2/2016,deinstalled,16-8-2_2002.266A-C_sofa,
Cursive,A Cole,G308, 76.74,2420,8/2/2016,9/2/2016,missing?,16-8-2_ 76.74_Cursive,
Mosquito,S Walden,G315,L2014.234.505,121964,8/3/2016,9/3/2016,deinstalled,16-8-3_L2014.234.505_MosquitoEDIT,
Olympics: Boxing,D Richard,G316,2010.43,109688,8/4/2016,8/18/2016,deinstalled,16-8-4_2010.43_boxingEDIT,
Olympics: Alcindor,T Gihring,G365,2011.15,111495,8/4/2016,8/18/2016,deinstalled,16-8-4_2011.15_OlympicsAlcindorEDIT,
Olympics: Archery,A Coffman,G322,64.62,1565,8/4/2016,8/18/2016,deinstalled,16-8-4_64.62_Olympics_archeryEDIT,
Olympics: sailing,A Cole,G307,66.61.2,1626,8/9/2016,8/18/2016,deinstalled,16-8-9_66.61.2_Olympics_sailingEDIT,
Olympics: sailing,J Chevalier,G351,62.36,1477,8/9/2016,8/18/2016,deinstalled,16-8-9_62.36_Olympics_sailingEDIT,
Olympics: Phelps,G Halvorson,G365,2014.132.30,120251,8/11/2016,8/18/2016,deinstalled,16-8-11_2014.132.30_Olympics_Phelps,
Lucy,D Richard,G365,2014.132.4,120191,8/11/2016,9/11/2016,deinstalled,16-8-11_2014.132.4_LucyEDIT,
Olympics: Refugee,A Cole,G315,2013.35.755,115109,8/11/2016,8/18/2016,deinstalled,16-8-11_2013.35.755_Olympics_refugeeEDIT,
Olympics: coffee,T Walden,G350,32.21.10,491,8/11/2016,8/18/2016,deinstalled,16-8-11_32.21.10_Olympics_CoffeeEDIT,
Olympics: Diana,A Bortolot,G330,69.37,1735,8/18/2016,9/18/2016,missing,,
Crickets,D Richard,G217,2002.271.2,33804,8/24/2016,9/24/2016,deinstalled,16-8-24_2002.271.2_CricketsEDIT,
Emperor,D Richard,G222,2013.29.48,117584,8/24/2016,9/24/2016,deinstalled,16-8-24_2013.29.48_EmperorEDIT,
Oak,D Richard,G300,85.82,3363,8/31/2016,9/31/2016,deinstalled,16-8-31_85.82_OakEDIT,
shadow,D Richard,G374,2010.55,89555,9/7/2016,10/7/2016,deinstalled,16-9-7_2010.55.1_LaosEDIT,
apple,D Richard,G324,68.88,1696,9/15/2016,10/15/2016,deinstalled,16-9-15_68.88_AppleEDIT,
face,D Richard,G357,69.48,1738,9/15/2016,10/15/2016,deinstalled,16-9-15_69.48_FaceEDIT,
marriage,D Richard,G312,88.64.2,3741,9/21/2016,10/21/2016,deinstalled,16-9-21_88.64.1_MarriageEDIT,
priest,D Richard,G200,62.14,1473,9/21/2016,10/21/2016,deinstalled,16-9-21_62.14_PriestEDIT,
DIY,D Richard,G250,2010.72,111088,9/28/2016,10/28/2016,deinstalled,16-9-28_2010.72_DIYEDIT,
Sufi,D Richard,G373,2014.43.1A-D,120055,9/28/2016,10/28/2016,deinstalled,16-9-28_2014.43.1A-D_SufiEDIT,
Great Wall,D Richard,G204,85.34,3344,9/28/2016,10/28/2016,deinstalled,16-9-28_85.34_GreatWallEDIT,
Unmasked,D Richard,G357,70.60,12092,10/6/2016,11/6/2016,deinstalled,16-10-6_70.60_UnveiledEDIT,
Meat,S Hopson,G377,57.12,1325,10/18/2016,11/18/2016,installed,16-10-18_57.12_MeatEDIT,
Swap,S Hopson,G235,75.9.1,2251,10/18/2016,11/18/2016,installed,16-10-18_ 75.9.1_SwapEDIT,
Obsessive,S Hopson,G367,52.1,1219,10/18/2016,11/18/2016,installed,16-10-18_ 52.1_ObsessiveEDIT,
Dress,S Hopson,G304,2008.84,98954,10/18/2016,11/18/2016,installed,16-10-18_2008.84_DressEDIT.,
Next in line? Tlingit,D Hopka,G261,47.30.2,763,10/19/2016,11/19/2016,installed,16-10-19_NextinLine_47.30.2_TlingitEDIT,
Next in line? Shah Jahan,A Gupta,G243,84.118.3,3245,10/19/2016,11/19/2016,installed,16-10-19_NextinLine_84.118.3_JahanEDIT,
Next in line? Yoruba,A Bortolot,G250,76.29,2275,10/19/2016,11/19/2016,installed,16-10-19_NextinLine_ 76.29_YorubaEDIT,
Next in line? Doge/venice,A Bortolot,G307,68.41.11,1673,10/19/2016,11/19/2016,installed,16-10-19_NextinLine_68.41.11_VeniceDRAFT,
Prince,S Hopson,G250,2010.72,111088,10/19/2016,11/19/2016,installed,16-10-19_ 2010.72_PrinceEDIT,
Next in line? tusk,S Hopson,G250,56.33,1312,10/20/2016,11/20/2016,installed,16-10-20_NextinLine_56.33_TuskEDIT,
Next in line? Arch,D Richard,G241,2013.46,116298,10/20/2016,11/20/2016,installed,16-10-20_NextinLine_2013.46_archEDIT,
Deputy,S Hopson,G369,2014.17,109140,10/25/2016,11/25/2016,installed,16-10-25_2014.17_DeputyEDIT,
Next in line? Poussin,G Halvorson,G313,58.28,1348,10/26/2016,11/20/2016,installed,16-10-19_NextinLine_58.28_Poussin,
Next in line: Bernini,G Halvorson,G310,59.7,1375,10/26/2016,11/20/2016,installed,16-10-19_NextinLine_59.7_Bernini,
Next in line? Tooker,G Halvorson,,L2014.234.556,122015,10/26/2016,11/20/2016,installed,16-10-26_NextinLine_L2014.234.556_TookerEDIT,
Next in line? Michelle Obama,G Halvorson,G307,2006.33,99368,11/2/2016,11/20/2016,installed,16-11-2_NextinLine_2006.33_Roslin,
Next in line? Debauch,G Halvorson,G306,64.63.1-2,1566,11/7/2016,11/20/2016,installed,16-11-7_NextinLine_64.63.1-2_GarnierEDIT,
Arsenic,D Richard,G355,2016.33.2,124691,11/9/2016,12/9/2016,installed,16-11-8_2016.33.2_ArsenicEDIT,
