,,,,,,,,,
Label ,Author,Gallery,Acc. No.,TMS,Inst. Date,De-Install Date,Status,Filename,
Breast Cancer,A Bortolot,G276,31.115,395,10/10/2013,10/24/2013,Deinstalled,13.10.10_Bortolot_BreastCancer,
"Tammany Bank ""Little Fat Man""",D Richard,G110,2003.236.333,81890,10/15/2013,10/29/2013,Deinstalled,13.10.15_Richard_FatTaftEDIT,not tagged; no Newsflash
Peacocks,A Bortolot,G211,64.65.19,18791,10/15/2013,10/29/2013,Deinstalled,13.10.15_Bortolot_PeacockEDIT,
Pollination,T Gihring,G311,87.4,3584,10/15/2013,10/29/2013,Deinstalled,,
Elephants get the point?,A Bortolot,G312,61.3,1400,10/15/2013,10/29/2013,Deinstalled,13.10.14.Bortolot_ElephantEDIT,
Tibetans & Science,D Richard,G180,92.44,4457,10/16/2013,10/30/2013,missing,13.10.16_Richard_TibetScienceEDIT,
Cannibal lobsters,H Raatz,G376,96.2,5033,10/16/2013,10/30/2013,Deinstalled,13-09-25_96.2_LobsterEDIT,
Banksy,D Richard,G238,"99.59.25a,b",80075,10/17/2013,10/31/2013,Deinstalled,13.10.16_Richard_BanksyEDIT,
Mental illness,G Kern,G355,51.7,1218,10/17/2013,10/31/2013,Deinstalled,13.10.17.Kearns.MentalIllnessEDIT,
Japanese sex,D Richard,G219,74.1.252,2008,10/22/2013,11/5/2013,Deinstalled,13.10.22_Richard_JapanSexEDIT,
Turkey,D Richard,G243,2004.54,89539,10/22/2013,11/5/2013,Deinstalled,13.10.23_Richard_TurkeyEDIT,
chronic fatigue,D Richard,G307,58.10,10451,10/23/2013,11/6/2013,missing,13-10-23_58.1_SleepEDIT,
White Bear Lake,G Kern,G303,,91556,10/24/2013,11/7/2013,Deinstalled,13.10.22.Kern.WhitebearLakeEDIT,
Turkey railway,T Gihring,G243,17.52,121,10/31/2013,11/14/2013,Deinstalled,13.10.31_Gihring_turkeyEDIT,
Oarfish,T Gihring,G359,2010.83,99878,10/31/2013,11/14/2013,Deinstalled,13.10.31_Gihring_oarfishEDIT,
Bribe Dating,T Gihring,G359,68.1,1657,10/31/2013,11/14/2013,Deinstalled,13.10.31_Gihring_bribedateEDIT,
"Cardinals, AM Radio",J Komar Oliverez,G378,98.276.205,6783,10/31/2013,11/14/2013,Deinstalled,13.10.31_Olivarez_RadioEDIT,
Monsanto,G Kern,G260,2009.33,104485,11/6/2013,11/20/2013,Deinstalled,13.11.6_Kern_Monsanto_EDIT,
Snowden,G Kern,G378,Curators office,116294,11/7/2013,11/21/2013,Deinstalled,13.11.07.Kern.SnowdenEDIT,
Toys to Tokyo,D Richard,,,,11/6/2013,2/4/2013,Deinstalled,13.11.06_Richard_PandaEDIT,
Camel & MERS,D Richard,G207,2004.205.1.1,95595,11/13/2013,11/27/2013,Deinstalled,13.11.13_Richard_CamelMersEDIT,
Slave,D Richard,G323,72.67,1935,11/13/2013,11/27/2013,Deinstalled,13.11.13_Richard_SlaveEDIT,
Who needs college,A Bortolot,G216,98.61.2,12134,11/14/2013,11/28/2013,Deinstalled,13-11-13_98.61.2_CollegeEDIT,
Statins,A Thompson Rundahl,G377,57.12,1325,11/14/2013,11/28/2013,Deinstalled,13-11-13_57.12_StatinsEDIT,
Space Junk,A Bortolot,3rd floor Atrium,2013.19,116191,11/19/2013,12/3/2013,Deinstalled,13-11-13_2013.19_SpacejunkEDIT,
Mac 'n Cheese,C Algeo,G100,99.132,31146,11/19/2013,12/3/2013,Deinstalled,,
Snake handling,D Richard,G255,2011.29,111879,11/21/2013,12/5/2013,Deinstalled,13.11.20_Richard_SnakeEDIT,
Food pics,D Richard,G322,2005.96,98269,11/21/2013,12/5/2013,Deinstalled,13.11.21_Richard_InstagramEDIT,
Buddha birthday,D Richard,G220,78.2,2536,11/26/2013,12/10/2013,Deinstalled,13.11.26_Richard_BuddhasBDEDIT,
Hydroelectric Falls,Jennifer Komar Olivarez,G303,Hill Tray 81.5,2900,12/3/2013,12/18/2013,Deinstalled,13.12.3_Hydro_JKO_EDIT,
Eye Bling,D Richard,eyeball,outside Aud. Eye,,12/4/2013,12/19/2013,Deinstalled,13.12.04_Richard_EyeArtEDIT,
Cowboy Express/Drones,E Bauer,G301,70.63,1820,12/5/2013,12/19/2013,Deinstalled,,
New Gilded Age,G Kern,G309,78.7,2570,12/5/2013,12/19/2013,Deinstalled,13-12-03_78.7_GildedAgeEDIT,
Bush apocalypse,G Kern,G321,15.22,58,12/5/2013,12/19/2013,Deinstalled,13.12.05.Kern.BushEDIT,
Bolshoi Dancer,D Richard,G351,56.8,1320,12/4/2013,12/19/2013,Deinstalled,13-12-04_56.8_BolshoiEDIT,
Mandela,T Gihring,G255,Lolo Veleko (on loan),118698,12/7/2013,12/21/2013,Missing or deinstalled,13.12.07_Gihring_mandelaEDIT,
"Car ""Traps"" - Hiding Places",A Bortolot,G302,2011.3.1,6299,12/12/2013,12/26/2013,Deinstalled,,
Egalitarian squalor,C Gendron,G371,55.3,1271,12/12/2013,12/26/2013,Deinstalled,13.12.12Clean_GendronEDIT,
World of Warcraft Spying,E Bauer,G340,2001.214.1,59168,12/11/2013,12/26/2013,Deinstalled,13.12.13_Bauer_WorldWarcraftEDIT,
Immortal Moons,A Thompson Rundahl,G204,2004.132.4,90695,12/18/2013,1/1/2014,Deinstalled,13-12-18_2004.132.4_JadeMoonEDIT,
Cabbage,D Richard,G333,84.85a-c,8031,12/18/2013,1/1/2014,Deinstalled,13-12-18_84.85a-c_CabbageEDIT,
Indian Beef,D Richard,G377,57.12,1325,12/18/2013,1/1/2014,Deinstalled,13-12-18_57.12_IndiaBeefEDIT,
Hopi scheme,D Richard,G259,2010.1,108692,12/19/2013,1/2/2014,Deinstalled,13-12-18_2010.1_HopiEDIT,
Ant Art,T Gihring,,,,12/20/2013,1/3/2013,Deinstalled,13.12.20_Gihring_AnthillArtEDIT,
Faux masters,G Kern,G373,2012.76a-c,115752,12/30/2013,1/13/2014,Deinstalled,13-12-30_2012.76a-c_forgeryEDIT,
Tourniquet,D Richard,Rotunda,86.6,3520,1/21/2014,2/5/2014,Deinstalled,14.01.22_Richard_TournaquetEDIT,
Pope John Paul II Relic,A Bortolot,G279,2012.12,113688,1/28/2014,2/12/2014,Deinstalled,14.01.28_Bortolot_PopeRelicEDIT,
Village traditions in China,D Richard,G218,98.61.1,9413,2/4/2014,2/19/2014,Deinstalled,14-02-12_98.61.1_WuEDIT,
Westminster Dog,D Richard,G305,84.36,3282,2/11/2014,2/25/2014,Deinstalled,14-02-11_2006.33.WestminsterEDIT,
Bengal tigers,D Richard,G222,2012.1.1,45653,2/12/2014,2/26/2014,Deinstalled,14-02-12_2012.1.1_TigerEDIT,
Camels,T Gihring,G357,70.21,1785,2/12/2014,2/26/2014,Deinstalled,14-02-12_70.21_CamelEDIT,
Joy Ride,T Rassieur,G350,"2003.191.1a,b",83723,2/12/2014,2/26/2014,Deinstalled,"14-02-12_2003.191.1a,b_PhaetonEDIT",
ABBA's outfits,D Richard,G374,"2011.12a,b",111576,2/19/2014,3/3/2014,Deinstalled,"14-02-19_2011.12a,b_AbbaEDIT",
Clown shortage,D Richard,G360,61.6,18424,2/20/2014,3/4/2014,Deinstalled,14-02-20_61.6_ClownEDIT,
Rhinegold treasure,T Gihring,G242,76.73.78,2416,2/20/2014,3/4/2014,Deinstalled,14-02-20_76.73.78_treasureEDIT,
Cossacks,D Richard,G321,73.42.3,1978,2/20/2014,3/4/2014,Deinstalled,14-02-20_73.42.3_FanaticsEDIT,
China children,D Richard,hallway,92.103.8,4343,2/26/2014,3/10/2014,Deinstalled,14-02-26_2005.54.3_ChinaBabyEDIT,
Bronze horse,D Richard,G323,79.13,2607,2/27/2014,3/11/2014,Deinstalled,14-02-27_79.13_DaVinciHorseEDIT,
Crimea,D Richard,G357,69.48,1738,3/6/2014,3/20/2014,Deinstalled,14-03-06_69.48_CrimeaEDIT,
Meat is bad,C Algeo,G377,57.12,1325,3/6/2014,3/20/2014,Deinstalled,14-03-06_57.12_MeatEDIT,
Vaping,D Richard,G321,68.79,30782,3/6/2014,3/20/2014,Deinstalled,14-03-06_68.79_VapingEDIT,
Bear No. 59,Roma,G301,70.64,1822,3/6/2014,3/20/2014,disappeared?,14-03-06_70.64_BearEDIT,
Mongolia,D Richard,G208,2002.220.1,63503,3/12/2014,3/26/2014,deinstalled,14-03-12_2002.220.1_GenghisEDIT,
marriage,E Bauer,G302,14.12,46,3/13/2014,3/27/2014,installed,14-03-13_14.120_Cohabitate,
Pistorius,Janeke,fountain court,86.6,3520,3/13/2014,3/27/2014,deinstalled,14-03-13_86.6_PistoriusEDIT,
prostitution,T Gihring,G253,2006.4,99301,3/13/2014,3/27/2014,deinstalled,,
Digital music,T Gihring,G3579,98.276.162,40283,3/13/2014,3/27/2014,deinstalled,14-03-13_98.276.162_DigitalMusic,
Liars,D Richard,G350,2010.11.2,109119,3/26/2014,4/9/2014,deinstalled,14-03-26_2010.11.2_LiarEDIT,
Bamiyan Buddhas,D Richard,G211,2001.153,6161,3/26/2014,4/9/2014,deinstalled,14-03-26_2001.153_BamianEDIT,
Diana as Katnis,D Richard,G322,64.62,1565,3/27/2014,4/10/2014,deinstalled,14-03-26_64.62_DianaEDIT,
"Duck, Duck",C Bowman,G304,L2002.110.1,61421,3/27/2014,4/10/2014,deinstalled,14-03-27_L2002.110.1_DuckEDIT,
Sea Divers,D Richard,G306,2001.44,33590,4/2/2014,4/16/2014,deinstalled,14-04-2_2010.83_SeaWomenEDIT,
XY IQ,D Richard,G340,33.3,522,4/3/2014,4/17/2014,deinstalled,14-04-3_33.3_IQEDIT,
Methane,D Richard,G357,49.6,801,4/3/2014,4/17/2014,deinstalled,14-04-3_49.6_MethaneEDIT,
Kickstarter Catholics,E Bauer,G343,34.2,15682,4/3/2014,4/17/2014,deinstalled,14-04-3_34.20_KickstarterEDIT,
China's Wine drinkers,D Richard,G214,50.46.45,1107,4/10/2014,4/24/2013,deinstalled,14-04-9_50.46.45_WineinChinaEDIT,
Burl burglaries,D Richard,G330,"Tony Cragg, Pulse",119214,4/10/2014,4/24/2014,deinstalled,14-04-9_81.3_RedwoodBurlsEDIT,
Mom's Stay Home,D Richard,G360,L2011.20.5,111501,4/10/2014,4/24/2014,deinstalled,14-04-9_L2011.20.5_StayHomeMomEDIT,
Elite colleges,T Gihring,G216,98.61.2,12134,4/10/2014,4/24/2014,deinstalled,14-04-9_98.61.2_EliteSchoolsEDIT,
Civil Rights Act,D Richard,Harrison,86.110.3,25054,4/10/2014,4/24/2014,deinstalled,14-04-10_86.110.3_CivRtsActEDIT,
Suicide,D Richard,G311,34.19,529,4/16/2014,4/30/2014,deinstalled,14-04-16_34.19_SuicideEDIT,
Couples,D Richard,G312,88.64.1,3740,4/16/2014,4/30/2014,deinstalled,14-04-16_88.64.1-2_LookalikesEDIT,
Nude in Munich,D Richard,G371,80.27,2724,4/16/2014,4/30/2014,deinstalled,14-04-16_80.27_NudeParkEDIT,
Union Depot,S Crews,G365,93.70.52,4619,4/16/2014,4/20/2014,deinstalled,14-04-16_93.70.52_AmtrakEDIT,
Daydream drug,T Gihring,G341,62.24,1476,4/18/2014,5/2/2014,installed,14-04-10_61.24_DaydreamEDIT,
Do you speak American?,A Bortolot,G332,32.12,486,4/15/2014,4/30/2014,deinstalled,14-04-15_32.12_Turn,
A tin ear?,A Bortolot,G355,51.7,1218,4/15/2014,4/30/2014,deinstalled,14-04-14_51.7_Stradivarius,
Cornrows and Camo,D Richard,G255,2014.73.1,118797,4/22/2014,5/6/2014,deinstalled,14-04-22_XX_hairstylesEDIT,
Star-crossed lovers,D Richard,G302,14.12,46,4/22/2014,5/6/2014,deinstalled,14-04-22_14.12_StarcrossedEDIT,
Tech,T Gihring,G379,98.276.219.1,40940,4/25/2014,5/9/2014,deinstalled,14-04-25_98.276.219.1_TechEDIT,
Rubik's cub,D Richard,G377,65.5,1595,4/29/2014,5/13/2014,deinstalled,14-04-29_65.5_RubikEDIT,
Locks in Paris,D Richard,G377,61.36.15,1413,4/29/2014,5/13/2014,deinstalled,14-04-29_61.36.15_BridgeEDIT,
Male Rape,A Bortolot,G311,34.19,529,5/5/2014,5/19/2013,deinstalled,14-05-01_34.19_MaleRapeDRAFT,
Pain,D Richard,G321,52.14,1226,5/1/2014,5/16/2014,deinstalled,14-05-01_52.14_PainEDIT,
Funny names,A Bortolot,G316,2008.84,98954,,,deinstalled,14-05-05_2008.84_NamesEDIT,
Singing nun,D Richard,G324,68.11,1658,5/6/2014,5/20/2014,deinstalled,14-05-06_68.11_NunEDIT,
Higher fences,D Richard,G321,14.76,53,5/7/2014,5/21/2014,deinstalled,14-05-06_14.76_DeerEDIT,
China hug,D Richard,G203,2006.44.3,2006.44.3,5/13/2014,5/27/2014,deinstalled,14-05-13_2006.44.3_HugEDIT,
Church and state,T Gihring,G341,72.68,1936,5/14/2014,5/28/2014,?,14-05-14_72.68_PrayerEDIT,
Gay arms,D Richard,G325,23.67,14157,5/15/2014,5/29/3014,deinstalled,14-05-15_23.67_ArmsEDIT,
Beer goggles,T Gihring,G350,32.21.7,15558,5/15/2014,5/29/2014,deinstalled,14-05-15_32.21.7 _BeerGogglesEDIT,
Cereal box,D Richard,G357,67.53,1649,5/21/2014,6/4/2014,deinstalled,14-05-21_67.53_cerealEDIT,
Bees,Roma,G209,95.98.39,4899,5/22/2014,6/5/2014,deinstalled,14-05-22_95.98.39_bumblebeeEDIT,
Great personality,T Gihring,G306,41.3,593,5/23/2014,6/6/2014,deinstalled,14-05-23_41.3_GreatPersonalityEDIT,
Go Computer,Roma,G203,97.141,5197,5/29/2014,6/13/2014,deinstalled,14-05-29_97.141_GoComputerEDIT,
Good Teens,T Gihring,G321,74.8,2144,5/29/2014,6/13/2014,deinstalled,14-05-29_74.8_GoodTeensEDIT,
Synagogue Lost,T Gihring,G362,2003.165.1a-c,81714,5/29/2014,6/13/2014,deinstalled,14-05-29_2003.165.1a-c_SynagogueLostEDIT,
Google Car,A. Bortolot,G379,2005.138,98653,5/29/2014,6/13/2014,deinstalled,14-05-28_2005.138_DriverlessCarEDIT,
Poisoned Artifacts,A. Bortolot,G259,86.94.2,3535,5/29/2014,6/13/2014,deinstallled,14-05-28_PoisonedArtifactsEDIT,
Trial by combat,A. Bortolot,G440,loan object,115752,5/29/2014,6/13/2014,deinstallled,14-05-28_TrialByCombatEDIT,
China's coal problem,D Richard,G208,46.23.1a-d,738,6/3/2014,6/17/2014,deinstalled,14-06-3_46.23.1a-d_relicsEDIT,
Spanish king,D Richard,G321,52.14,1226,6/4/2014,6/18/2014,deinstalled,14-06-4_52.14_SpanishKingEDIT,
Wimpy kids,Roma,G377,51.18,1162,6/4/2014,6/18/2014,deinstalled,14-06-04_51.18_WimpyKidsEDIT,
Maya Angelou,K Wildfong,G276,P.99.12.2,44007,6/4/2014,6/18/2014,deinstalled,14-06-03_P.99.12.2_MayaAngelou,
EPA,D Richard,G322,2000.236,12936,6/4/2014,6/18/2014,deinstalled,14-06-4_2000.236_EPA_EDIT,
Hurricanes,T Gihring,G335,23.3d,14019,6/4/2014,6/18/2014,deinstalled,14-06-04_23.3d_HurricanesEDIT,
handwriting,Roma,G217,98.169.2.3,112813,6/5/2014,6/19/2014,deinstalled,14-06-5_98.169.2.3_HandwrtgEDIT,
